dd,날짜,기준가,전일대비,등락율,설정액 (억),순 자산액(억),과표기준가
4,2016.02.22,3639.16,37.19,1.03,94,68,5076.37
5,2016.02.19,3601.97,52.89,1.49,94,67,5079.22
6,2016.02.18,3549.08,64.17,-1.78,94,66,5079.27
7,2016.02.17,3613.25,62.12,1.75,94,67,5079.31
8,2016.02.16,3551.13,91.0,2.63,94,66,5077.44
9,2016.02.15,3460.13,136.53,-3.8,94,64,5077.48
0,2016.02.12,3596.66,165.31,-4.39,94,67,5077.62
1,2016.02.11,3761.97,6.16,0.16,94,70,5077.66
2,2016.02.05,3755.81,67.88,1.84,94,70,5074.91
3,2016.02.04,3687.93,13.29,-0.36,94,69,5074.96
4,2016.02.03,3701.22,22.51,-0.6,94,69,5075.01
5,2016.02.02,3723.73,39.01,-1.04,94,69,5075.06
6,2016.02.01,3762.74,38.17,-1.0,94,70,5075.11
7,2016.01.29,3800.91,43.61,1.16,94,71,5075.26
8,2016.01.28,3757.3,46.86,1.26,94,70,5075.3
9,2016.01.27,3710.44,27.33,-0.73,94,69,5075.35
0,2016.01.26,3737.77,66.15,1.8,94,70,5075.4
1,2016.01.25,3671.62,108.97,3.06,94,68,5075.46
2,2016.01.22,3562.65,12.18,-0.34,94,66,5075.61
3,2016.01.21,3574.83,77.02,-2.11,94,66,5075.66
4,2016.01.20,3651.85,64.21,-1.73,94,68,5075.71
5,2016.01.19,3716.06,44.09,-1.17,94,69,5075.76
6,2016.01.18,3760.15,26.72,-0.71,94,70,5075.81
7,2016.01.15,3786.87,98.88,-2.54,94,70,5075.97
8,2016.01.14,3885.75,35.54,0.92,94,72,5076.02
9,2016.01.13,3850.21,7.34,0.19,94,72,5076.07
0,2016.01.12,3842.87,133.07,-3.35,94,71,5076.12
1,2016.01.11,3975.94,9.06,0.23,94,74,5076.17
2,2016.01.08,3966.88,83.77,-2.07,94,74,5076.33
3,2016.01.07,4050.65,53.34,-1.3,94,75,5076.39
4,2016.01.06,4103.99,11.77,-0.29,94,76,5076.44
5,2016.01.05,4115.76,122.16,-2.88,94,77,5076.5
6,2016.01.04,4237.92,0.23,-0.01,94,79,5076.55
7,2015.12.31,4238.15,5.74,-0.14,94,79,5076.78
8,2015.12.30,4243.89,78.82,1.89,94,79,5076.84
9,2015.12.29,4165.07,28.1,-0.67,94,77,5040.44
0,2015.12.28,4193.17,11.17,-0.27,94,78,5040.49
1,2015.12.24,4204.34,24.07,-0.57,94,78,5040.72
2,2015.12.23,4228.41,33.49,-0.79,94,79,5040.78
3,2015.12.22,4261.9,13.43,0.32,94,79,5040.83
4,2015.12.21,4248.47,68.44,1.64,94,79,5040.89
5,2015.12.18,4180.03,109.71,2.7,94,78,5041.06
6,2015.12.17,4070.32,40.2,1.0,94,76,5041.11
7,2015.12.16,4030.12,6.38,0.16,94,75,5041.17
8,2015.12.15,4023.74,101.28,-2.46,94,75,5041.22
9,2015.12.14,4125.02,67.04,-1.6,94,77,5041.27
0,2015.12.11,4192.06,2.08,0.05,94,78,5041.44
1,2015.12.10,4189.98,28.6,-0.68,94,78,5041.49
2,2015.12.09,4218.58,45.05,-1.06,94,78,5041.55
3,2015.12.08,4263.63,11.55,-0.27,94,79,5041.61
4,2015.12.07,4275.18,52.69,-1.22,94,80,5041.66
5,2015.12.04,4327.87,0.1,0.0,94,80,5041.83
6,2015.12.03,4327.77,7.25,0.17,94,80,5041.89
7,2015.12.02,4320.52,36.08,0.84,94,80,5041.94
8,2015.12.01,4284.44,56.6,-1.3,94,80,5042.0
9,2015.11.30,4341.04,28.59,0.66,94,81,5042.06
0,2015.11.27,4312.45,23.55,0.55,94,80,5042.23
1,2015.11.26,4288.9,2.09,0.05,94,80,5042.29
2,2015.11.25,4286.81,13.09,-0.3,94,80,5042.34
3,2015.11.24,4299.9,14.62,0.34,94,80,5042.4
4,2015.11.23,4285.28,6.86,-0.16,94,80,5042.46
5,2015.11.20,4292.14,5.98,-0.14,94,80,5042.62
6,2015.11.19,4298.12,30.49,-0.7,94,80,5042.68
7,2015.11.18,4328.61,87.57,2.06,94,81,5042.74
8,2015.11.17,4241.04,195.6,-4.41,94,79,5042.8
9,2015.11.16,4436.64,37.97,-0.85,94,83,5042.85
0,2015.11.13,4474.61,87.36,-1.91,94,83,5043.03
1,2015.11.12,4561.97,5.15,-0.11,94,85,5043.09
2,2015.11.11,4567.12,151.2,-3.2,94,85,5043.16
3,2015.11.10,4718.32,94.1,-1.96,94,88,5043.22
4,2015.11.09,4812.42,58.57,-1.2,94,90,5043.28
5,2015.11.06,4870.99,19.9,0.41,94,91,5043.48
6,2015.11.05,4851.09,42.67,0.89,94,90,5043.55
7,2015.11.04,4808.42,106.82,2.27,94,89,5043.58
8,2015.11.03,4701.6,44.31,-0.93,94,87,5043.65
9,2015.11.02,4745.91,20.54,0.43,94,88,5043.72
0,2015.10.30,4725.37,47.98,-1.01,94,88,5043.93
1,2015.10.29,4773.35,1.6,0.03,94,89,5043.99
2,2015.10.28,4771.75,1.87,0.04,94,89,5044.06
3,2015.10.27,4769.88,15.79,0.33,94,89,5044.13
4,2015.10.26,4754.09,42.14,0.89,94,88,5044.21
5,2015.10.23,4711.95,39.28,-0.83,94,88,5044.41
6,2015.10.22,4751.23,37.11,-0.78,94,88,5044.48
7,2015.10.21,4788.34,3.34,-0.07,94,89,5044.55
8,2015.10.20,4791.68,35.51,0.75,94,89,5044.62
9,2015.10.19,4756.17,8.32,-0.17,94,88,5044.69
0,2015.10.16,4764.49,36.03,0.76,94,89,5044.9
1,2015.10.15,4728.46,109.77,-2.27,94,88,5044.97
2,2015.10.14,4838.23,12.96,-0.27,94,90,5045.04
3,2015.10.13,4851.19,0.64,-0.01,94,90,5045.12
4,2015.10.12,4851.83,72.5,-1.47,94,90,5045.19
5,2015.10.08,4924.33,121.05,-2.4,94,92,5045.47
6,2015.10.07,5045.38,0.52,-0.01,94,94,5045.83
7,2015.10.06,5045.9,0.0,0.0,0,0,5045.9
